endpoint,repeat,fold,module_label,model,c_index,error,n_train,n_test,train_events,test_events,n_module_genes_used,n_original_proliferation_genes_used,n_disjoint_proliferation_genes_used,module_pc1_explained_variance,original_proliferation_pc1_explained_variance,disjoint_proliferation_pc1_explained_variance,train_module_original_proliferation_correlation,train_module_disjoint_proliferation_correlation,residual_sd_before_standardization
DFI,19,5,M40,residual_to_disjoint_proliferation_and_weight,0.6454545454545455,,149,37,114,29,144,251,171,0.49843670644989274,0.6512064060915287,0.6266048251745233,0.9815235790706538,0.9721512071897846,0.23272774777577326
DFI,20,1,M11,module_only,0.7312614259597806,,148,38,114,29,8,251,251,0.45340730358473813,0.6460185822023284,0.6460185822023284,0.046735001604527045,0.046735001604527045,
DFI,20,1,M11,original_proliferation_only,0.5923217550274223,,148,38,114,29,8,251,251,0.45340730358473813,0.6460185822023284,0.6460185822023284,0.046735001604527045,0.046735001604527045,
DFI,20,1,M11,module_plus_original_proliferation,0.7184643510054844,,148,38,114,29,8,251,251,0.45340730358473813,0.6460185822023284,0.6460185822023284,0.046735001604527045,0.046735001604527045,
DFI,20,1,M11,disjoint_proliferation_only,0.5923217550274223,,148,38,114,29,8,251,251,0.45340730358473813,0.6460185822023284,0.6460185822023284,0.046735001604527045,0.046735001604527045,
DFI,20,1,M11,module_plus_disjoint_proliferation,0.7184643510054844,,148,38,114,29,8,251,251,0.45340730358473813,0.6460185822023284,0.6460185822023284,0.046735001604527045,0.046735001604527045,
DFI,20,1,M11,residual_to_original_proliferation,0.7276051188299817,,148,38,114,29,8,251,251,0.45340730358473813,0.6460185822023284,0.6460185822023284,0.046735001604527045,0.046735001604527045,0.9989073228408252
DFI,20,1,M11,residual_to_disjoint_proliferation,0.7276051188299817,,148,38,114,29,8,251,251,0.45340730358473813,0.6460185822023284,0.6460185822023284,0.046735001604527045,0.046735001604527045,0.9989073228408252
DFI,20,1,M11,residual_to_disjoint_proliferation_and_weight,0.7294332723948812,,148,38,114,29,8,251,251,0.45340730358473813,0.6460185822023284,0.6460185822023284,0.046735001604527045,0.046735001604527045,0.9840420429668357
DFI,20,1,M17,module_only,0.6453382084095064,,148,38,114,29,5,251,251,0.5324137939232059,0.6460185822023284,0.6460185822023284,0.20985252143071217,0.20985252143071217,
